Date,Target,MSFT,AMD
2019-10-04,227.00999500000003,138.119995,29.01
2019-10-07,227.059998,137.119995,28.93
2019-10-08,224.399994,135.669998,28.23
2019-10-09,227.02999900000003,138.240005,28.459999
2019-10-10,230.08999599999999,139.100006,28.379998999999998
2019-10-11,236.210007,139.679993,29.75
2019-10-14,235.86999500000002,139.550003,30.530001000000002
2019-10-15,235.32000699999998,141.570007,30.719998999999998
2019-10-16,234.36999500000002,140.41000400000001,30.809998999999998
2019-10-17,235.27999900000003,139.690002,31.139999
2019-10-18,236.41000400000001,137.41000400000001,30.969998999999998
2019-10-21,240.50999500000003,138.429993,32.029999
2019-10-22,239.960007,136.369995,31.51
2019-10-23,243.17999300000002,137.240005,31.360001
2019-10-24,243.580002,139.940002,31.719998999999998
2019-10-25,246.580002,140.729996,32.709998999999996
2019-10-28,249.05000299999998,144.190002,33.689999
2019-10-29,243.289993,142.830002,33.029999
2019-10-30,243.25999500000003,144.610001,33.130001
2019-10-31,248.75999500000003,143.369995,33.93
2019-11-01,255.82000699999998,143.720001,34.889998999999996
2019-11-04,257.5,144.550003,36.290001000000004
2019-11-05,257.130005,144.46000700000002,36.150002
2019-11-06,257.23999,144.059998,35.93
2019-11-07,259.429993,144.259995,36.279999
2019-11-08,260.140015,145.96000700000002,36.290001000000004
2019-11-11,262.200012,146.110001,36.310001
2019-11-12,261.959991,147.070007,36.709998999999996
2019-11-13,264.47000099999997,147.309998,37.52
2019-11-14,262.640015,148.059998,38.349998
2019-11-15,265.76001,149.970001,38.560001
2019-11-18,267.100006,150.33999599999999,39.880001
2019-11-19,266.290009,150.389999,41.290001000000004
2019-11-20,263.190002,149.619995,40.98
2019-11-21,262.01001,149.479996,39.52
2019-11-22,261.77999900000003,149.58999599999999,39.150002
2019-11-25,266.369995,151.229996,39.790001000000004
2019-11-26,264.290009,152.029999,38.990002000000004
2019-11-27,267.839996,152.320007,39.41
2019-11-29,267.25,151.380005,39.150002
2019-12-02,264.160004,149.550003,38.73
2019-12-03,259.450012,149.309998,38.900002
2019-12-04,261.73999,149.850006,39.689999
2019-12-05,265.579987,149.929993,39.619999
2019-12-06,270.709991,151.75,39.630001
2019-12-09,266.920013,151.360001,38.93
2019-12-10,268.480011,151.130005,39.439999
2019-12-11,270.769989,151.699997,39.470001
2019-12-12,271.459991,153.240005,42.59
2019-12-13,275.149994,154.529999,41.150002
2019-12-16,279.859985,155.529999,42.349998
2019-12-17,280.410004,154.690002,42.77
2019-12-18,279.73999,154.369995,42.299999
2019-12-19,280.019989,155.71000700000002,42.830002
2019-12-20,279.440002,157.41000400000001,44.150002
2019-12-23,284.0,157.41000400000001,45.459998999999996
2019-12-24,284.269989,157.380005,46.540001000000004
2019-12-26,289.910004,158.669998,46.630001
2019-12-27,289.799988,158.96000700000002,46.18
2019-12-30,291.519989,157.58999599999999,45.52
2019-12-31,293.649994,157.699997,45.860001000000004
2020-01-02,300.350006,160.619995,49.099998
2020-01-03,297.429993,158.619995,48.599998
2020-01-06,299.799988,159.029999,48.389998999999996
2020-01-07,298.390015,157.580002,48.25
2020-01-08,303.190002,160.08999599999999,47.830002
2020-01-09,309.630005,162.08999599999999,48.970001
2020-01-10,310.329987,161.33999599999999,48.169998
2020-01-13,316.959991,163.279999,48.75
2020-01-14,312.679993,162.130005,48.209998999999996
2020-01-15,311.339996,163.179993,48.549999
2020-01-16,315.23999,166.169998,49.77
2020-01-17,318.730011,167.100006,50.93
2020-01-21,316.570007,166.5,51.049999
2020-01-22,317.700012,165.699997,51.43
2020-01-23,319.230011,166.720001,51.709998999999996
2020-01-24,318.309998,165.03999299999998,50.349998
2020-01-27,308.950012,162.279999,49.259997999999996
